symbol,open_time_ms,open_time_utc,open,high,low,close,volume
BTCUSDT,1679431020000,2023-03-21 20:37:00,28176.83,28176.83,28169.01,28169.01,0.24021
BTCUSDT,1679431080000,2023-03-21 20:38:00,28172.52,28172.52,28148.14,28148.15,0.68441
BTCUSDT,1679431140000,2023-03-21 20:39:00,28149.47,28157.58,28130.99,28135.98,1.28089
BTCUSDT,1679431200000,2023-03-21 20:40:00,28135.06,28153.09,28135.06,28148.79,0.60085
BTCUSDT,1679431260000,2023-03-21 20:41:00,28146.09,28148.13,28136.90,28136.90,0.56347
BTCUSDT,1679431320000,2023-03-21 20:42:00,28136.89,28136.89,28120.02,28120.02,0.19042
BTCUSDT,1679431380000,2023-03-21 20:43:00,28120.02,28153.28,28120.02,28148.09,0.46885
BTCUSDT,1679431440000,2023-03-21 20:44:00,28142.51,28142.51,28128.38,28128.38,0.07912
BTCUSDT,1679431500000,2023-03-21 20:45:00,28128.81,28136.38,28125.64,28125.65,0.46719
BTCUSDT,1679431560000,2023-03-21 20:46:00,28136.18,28152.26,28136.18,28152.26,0.33637
BTCUSDT,1679431620000,2023-03-21 20:47:00,28152.25,28152.25,28106.68,28107.12,0.76283
BTCUSDT,1679431680000,2023-03-21 20:48:00,28106.71,28106.71,28063.82,28083.42,1.19396
BTCUSDT,1679431740000,2023-03-21 20:49:00,28077.31,28083.08,28046.98,28058.19,1.31054
BTCUSDT,1679431800000,2023-03-21 20:50:00,28058.19,28075.39,28041.38,28075.39,1.09858
BTCUSDT,1679431860000,2023-03-21 20:51:00,28080.65,28080.65,28054.45,28059.43,1.13561
BTCUSDT,1679431920000,2023-03-21 20:52:00,28057.50,28073.92,28057.50,28063.84,0.56218
BTCUSDT,1679431980000,2023-03-21 20:53:00,28075.04,28100.15,28075.04,28100.00,0.51566
BTCUSDT,1679432040000,2023-03-21 20:54:00,28100.00,28116.91,28100.00,28108.76,0.28893
BTCUSDT,1679432100000,2023-03-21 20:55:00,28103.15,28114.37,28096.51,28108.66,0.52063
BTCUSDT,1679432160000,2023-03-21 20:56:00,28102.88,28107.42,28097.52,28107.42,0.16340
BTCUSDT,1679432220000,2023-03-21 20:57:00,28106.65,28106.65,28086.34,28086.75,0.39856
BTCUSDT,1679432280000,2023-03-21 20:58:00,28092.07,28106.46,28087.24,28105.74,0.52782
BTCUSDT,1679432340000,2023-03-21 20:59:00,28097.52,28097.52,28076.18,28076.18,0.88172
BTCUSDT,1679432400000,2023-03-21 21:00:00,28077.40,28086.28,28075.05,28086.28,0.08322
BTCUSDT,1679432460000,2023-03-21 21:01:00,28087.65,28095.87,28056.94,28058.14,1.30199
BTCUSDT,1679432520000,2023-03-21 21:02:00,28060.27,28080.65,28060.27,28080.65,0.05447
BTCUSDT,1679432580000,2023-03-21 21:03:00,28077.24,28094.26,28077.24,28088.91,0.61794
BTCUSDT,1679432640000,2023-03-21 21:04:00,28085.65,28091.90,28082.23,28091.90,0.64822
BTCUSDT,1679432700000,2023-03-21 21:05:00,28091.90,28100.72,28091.90,28098.83,0.18810
BTCUSDT,1679432760000,2023-03-21 21:06:00,28102.22,28102.22,28094.03,28094.03,0.01397
BTCUSDT,1679432820000,2023-03-21 21:07:00,28091.47,28094.33,28069.43,28070.48,0.42181
BTCUSDT,1679432880000,2023-03-21 21:08:00,28067.36,28080.23,28063.82,28063.82,0.82115
BTCUSDT,1679432940000,2023-03-21 21:09:00,28058.20,28070.71,27996.55,28001.84,2.88978
BTCUSDT,1679433000000,2023-03-21 21:10:00,27996.54,28029.17,27978.00,28029.16,1.08748
BTCUSDT,1679433060000,2023-03-21 21:11:00,28030.16,28041.36,28019.87,28025.14,0.33475
BTCUSDT,1679433120000,2023-03-21 21:12:00,28018.96,28020.38,27967.65,27971.55,2.35461
BTCUSDT,1679433180000,2023-03-21 21:13:00,27968.56,27983.65,27962.97,27977.49,0.91980
BTCUSDT,1679433240000,2023-03-21 21:14:00,27978.45,27986.28,27968.56,27977.81,0.47877
BTCUSDT,1679433300000,2023-03-21 21:15:00,27981.74,28018.94,27981.74,28013.34,1.77569
BTCUSDT,1679433360000,2023-03-21 21:16:00,28018.95,28024.41,27982.44,27985.55,2.23002
BTCUSDT,1679433420000,2023-03-21 21:17:00,27990.94,28002.13,27957.38,27972.10,1.40564
BTCUSDT,1679433480000,2023-03-21 21:18:00,27971.46,27989.65,27963.57,27964.97,0.82786
BTCUSDT,1679433540000,2023-03-21 21:19:00,27974.15,27985.24,27957.37,27985.24,2.08576
BTCUSDT,1679433600000,2023-03-21 21:20:00,27983.81,27996.54,27974.16,27996.54,0.30934
BTCUSDT,1679433660000,2023-03-21 21:21:00,28002.13,28024.54,28002.13,28018.77,1.14807
BTCUSDT,1679433720000,2023-03-21 21:22:00,28020.72,28021.77,27994.47,28002.15,2.33430
BTCUSDT,1679433780000,2023-03-21 21:23:00,28006.14,28017.44,27990.95,28000.54,1.03096
BTCUSDT,1679433840000,2023-03-21 21:24:00,27999.42,28006.65,27999.32,28006.25,0.56108
BTCUSDT,1679433900000,2023-03-21 21:25:00,28000.90,28000.91,27974.17,27976.80,0.22136
