exchange,symbol,open_time_ms,open_time_utc,open,high,low,close,volume,volume_base_ccy,volume_quote_ccy,confirm
okx,BTCUSDT,1678006020000,2023-03-05 08:47:00,22350.3,22350.3,22342.8,22342.8,0.58199185,13007.492543587,13007.492543587,1
okx,BTCUSDT,1678006080000,2023-03-05 08:48:00,22341,22353.3,22341,22353.3,2.21323356,49454.909832004,49454.909832004,1
okx,BTCUSDT,1678006140000,2023-03-05 08:49:00,22351.7,22351.7,22341.9,22342.5,0.94750011,21172.025565447,21172.025565447,1
okx,BTCUSDT,1678006200000,2023-03-05 08:50:00,22342.2,22342.3,22337.4,22337.4,0.46394201,10364.803588931,10364.803588931,1
okx,BTCUSDT,1678006260000,2023-03-05 08:51:00,22337.5,22345.6,22337.5,22341.9,0.31833964,7112.542943188,7112.542943188,1
okx,BTCUSDT,1678006320000,2023-03-05 08:52:00,22341.4,22342.7,22337.8,22342.7,0.24145629,5394.184348358,5394.184348358,1
okx,BTCUSDT,1678006380000,2023-03-05 08:53:00,22342.6,22342.7,22342.6,22342.6,0.99236032,22171.910319806,22171.910319806,1
okx,BTCUSDT,1678006440000,2023-03-05 08:54:00,22342.6,22342.6,22334.9,22334.9,1.81988783,40650.918728458,40650.918728458,1
okx,BTCUSDT,1678006500000,2023-03-05 08:55:00,22334.9,22337.6,22330.8,22330.8,4.02913461,89994.437912705,89994.437912705,1
okx,BTCUSDT,1678006560000,2023-03-05 08:56:00,22332.2,22332.3,22331.1,22331.2,1.46042032,32613.568065345,32613.568065345,1
okx,BTCUSDT,1678006620000,2023-03-05 08:57:00,22331.1,22333,22330.5,22332.9,2.51890766,56251.927775361,56251.927775361,1
okx,BTCUSDT,1678006680000,2023-03-05 08:58:00,22332.9,22335.4,22331.2,22334,6.3007043,140722.754435529,140722.754435529,1
okx,BTCUSDT,1678006740000,2023-03-05 08:59:00,22331.6,22341.2,22329.5,22341.2,6.37191423,142300.503632276,142300.503632276,1
okx,BTCUSDT,1678006800000,2023-03-05 09:00:00,22341.2,22341.2,22338.6,22339.3,0.63403371,14164.496451929,14164.496451929,1
okx,BTCUSDT,1678006860000,2023-03-05 09:01:00,22339.3,22340.3,22335.3,22335.3,1.07009149,23905.884899025,23905.884899025,1
okx,BTCUSDT,1678006920000,2023-03-05 09:02:00,22335.3,22335.4,22335.3,22335.4,0.88810766,19836.174428508,19836.174428508,1
okx,BTCUSDT,1678006980000,2023-03-05 09:03:00,22335.3,22335.4,22329,22329.1,0.74015887,16529.488464196,16529.488464196,1
okx,BTCUSDT,1678007040000,2023-03-05 09:04:00,22329,22329,22318,22324.8,4.9835554,111237.33975706,111237.33975706,1
okx,BTCUSDT,1678007100000,2023-03-05 09:05:00,22324.9,22342.7,22324.9,22339.3,1.99667769,44596.748210878,44596.748210878,1
okx,BTCUSDT,1678007160000,2023-03-05 09:06:00,22339.2,22351.2,22339.2,22351.1,0.90082053,20129.21457403,20129.21457403,1
okx,BTCUSDT,1678007220000,2023-03-05 09:07:00,22351.1,22351.2,22345.9,22346.8,5.68763934,127123.736267305,127123.736267305,1
okx,BTCUSDT,1678007280000,2023-03-05 09:08:00,22346.7,22350.4,22346.6,22346.6,0.35931887,8030.065418075,8030.065418075,1
okx,BTCUSDT,1678007340000,2023-03-05 09:09:00,22350.3,22351.3,22350.3,22351.3,0.71812503,16050.758005569,16050.758005569,1
okx,BTCUSDT,1678007400000,2023-03-05 09:10:00,22351.3,22355.9,22350.4,22354.8,5.56591909,124405.370867868,124405.370867868,1
okx,BTCUSDT,1678007460000,2023-03-05 09:11:00,22352.8,22355.6,22352.7,22355.6,0.02561547,572.575843052,572.575843052,1
okx,BTCUSDT,1678007520000,2023-03-05 09:12:00,22353.5,22368.4,22353.5,22368.4,0.79638637,17811.382287429,17811.382287429,1
okx,BTCUSDT,1678007580000,2023-03-05 09:13:00,22368.4,22370.8,22368.3,22370.8,0.07516415,1681.307768377,1681.307768377,1
okx,BTCUSDT,1678007640000,2023-03-05 09:14:00,22370.8,22377.7,22370.1,22370.2,8.82998503,197560.186134335,197560.186134335,1
okx,BTCUSDT,1678007700000,2023-03-05 09:15:00,22370.1,22373.7,22370.1,22373.6,1.34956105,30190.185028716,30190.185028716,1
okx,BTCUSDT,1678007760000,2023-03-05 09:16:00,22373.7,22376.8,22373.7,22373.7,1.14961342,25721.16134997,25721.16134997,1
okx,BTCUSDT,1678007820000,2023-03-05 09:17:00,22373.7,22373.8,22372.6,22373.5,1.23776509,27693.283193628,27693.283193628,1
okx,BTCUSDT,1678007880000,2023-03-05 09:18:00,22373.5,22373.6,22369,22372.6,1.30721915,29245.609353172,29245.609353172,1
okx,BTCUSDT,1678007940000,2023-03-05 09:19:00,22372.6,22373.8,22372.5,22372.6,0.27492264,6150.869121098,6150.869121098,1
okx,BTCUSDT,1678008000000,2023-03-05 09:20:00,22372.6,22375.1,22372.5,22375,0.8802581,19695.162757562,19695.162757562,1
okx,BTCUSDT,1678008060000,2023-03-05 09:21:00,22375,22380.7,22375,22380,12.63555058,282788.684874434,282788.684874434,1
okx,BTCUSDT,1678008120000,2023-03-05 09:22:00,22380,22390,22380,22390,9.8222084,219838.702439043,219838.702439043,1
okx,BTCUSDT,1678008180000,2023-03-05 09:23:00,22389.9,22390,22380.9,22380.9,8.57449442,191961.515787405,191961.515787405,1
okx,BTCUSDT,1678008240000,2023-03-05 09:24:00,22379,22379,22376.7,22376.7,3.23365179,72361.255107228,72361.255107228,1
okx,BTCUSDT,1678008300000,2023-03-05 09:25:00,22376.7,22376.7,22363.3,22364.9,2.19510224,49114.197868654,49114.197868654,1
okx,BTCUSDT,1678008360000,2023-03-05 09:26:00,22364.9,22364.9,22361.6,22363.7,1.93650941,43309.216132539,43309.216132539,1
okx,BTCUSDT,1678008420000,2023-03-05 09:27:00,22363.7,22365,22363.7,22365,0.04147089,927.491109196,927.491109196,1
okx,BTCUSDT,1678008480000,2023-03-05 09:28:00,22365,22370,22364.9,22369.9,5.79117098,129520.518302181,129520.518302181,1
okx,BTCUSDT,1678008540000,2023-03-05 09:29:00,22370,22370,22366.1,22370,3.60833116,80712.673070188,80712.673070188,1
okx,BTCUSDT,1678008600000,2023-03-05 09:30:00,22370,22370,22369.9,22370,1.77596594,39728.252943316,39728.252943316,1
okx,BTCUSDT,1678008660000,2023-03-05 09:31:00,22370,22386,22370,22384.5,11.4644086,256517.594224986,256517.594224986,1
okx,BTCUSDT,1678008720000,2023-03-05 09:32:00,22384.5,22390.2,22382.2,22386,3.83940777,85946.66816498,85946.66816498,1
okx,BTCUSDT,1678008780000,2023-03-05 09:33:00,22389.7,22393.5,22386.5,22393.5,0.447314,10015.758096492,10015.758096492,1
okx,BTCUSDT,1678008840000,2023-03-05 09:34:00,22393.5,22393.6,22389.1,22390.6,0.79592203,17822.270590159,17822.270590159,1
okx,BTCUSDT,1678008900000,2023-03-05 09:35:00,22387.1,22387.9,22380,22380.1,0.68296409,15286.296350321,15286.296350321,1
okx,BTCUSDT,1678008960000,2023-03-05 09:36:00,22380.1,22384.1,22379.8,22379.8,1.57829109,35325.3347243,35325.3347243,1
okx,BTCUSDT,1678009020000,2023-03-05 09:37:00,22379.7,22379.8,22371.3,22371.3,12.8455181,287407.203216479,287407.203216479,1
okx,BTCUSDT,1678009080000,2023-03-05 09:38:00,22371.3,22375.7,22371.3,22374.7,0.03155033,705.905757995,705.905757995,1
okx,BTCUSDT,1678009140000,2023-03-05 09:39:00,22374.8,22374.8,22374.7,22374.8,0.10548751,2360.259044215,2360.259044215,1
okx,BTCUSDT,1678009200000,2023-03-05 09:40:00,22374.8,22377.5,22374.8,22377.5,1.04482125,23378.169314093,23378.169314093,1
okx,BTCUSDT,1678009260000,2023-03-05 09:41:00,22377.5,22382.1,22374.8,22382.1,0.67250571,15048.392305917,15048.392305917,1
okx,BTCUSDT,1678009320000,2023-03-05 09:42:00,22382.1,22384.3,22378.9,22384.2,0.56526305,12651.341897656,12651.341897656,1
okx,BTCUSDT,1678009380000,2023-03-05 09:43:00,22384.2,22384.3,22381.8,22381.9,0.2683327,6005.937625027,6005.937625027,1
okx,BTCUSDT,1678009440000,2023-03-05 09:44:00,22381.8,22381.8,22379.8,22379.8,0.10985067,2458.503111254,2458.503111254,1
okx,BTCUSDT,1678009500000,2023-03-05 09:45:00,22379.9,22382,22379.8,22381.9,0.80252382,17961.825993843,17961.825993843,1
okx,BTCUSDT,1678009560000,2023-03-05 09:46:00,22381.9,22389.7,22381.9,22389,1.01969379,22825.829386385,22825.829386385,1
