datetime,open,high,low,close,volume
2023-03-07 00:06:00+00:00,1.06884,1.06892,1.06883,1.06891,0
2023-03-07 00:07:00+00:00,1.06892,1.06899,1.06892,1.06898,0
2023-03-07 00:08:00+00:00,1.06899,1.06899,1.06888,1.06888,0
2023-03-07 00:09:00+00:00,1.06888,1.06896,1.06888,1.06896,0
2023-03-07 00:10:00+00:00,1.06899,1.06903,1.06897,1.06898,0
2023-03-07 00:11:00+00:00,1.06899,1.06902,1.06896,1.06901,0
2023-03-07 00:12:00+00:00,1.069,1.06901,1.06896,1.06899,0
2023-03-07 00:13:00+00:00,1.06899,1.069,1.06891,1.06892,0
2023-03-07 00:14:00+00:00,1.06893,1.06896,1.06891,1.06891,0
2023-03-07 00:15:00+00:00,1.06892,1.06892,1.06883,1.06885,0
2023-03-07 00:16:00+00:00,1.06885,1.06885,1.0688,1.06882,0
2023-03-07 00:17:00+00:00,1.06882,1.06888,1.06877,1.06888,0
2023-03-07 00:18:00+00:00,1.0689,1.06891,1.06889,1.06889,0
2023-03-07 00:19:00+00:00,1.06891,1.06896,1.06886,1.06895,0
2023-03-07 00:20:00+00:00,1.06896,1.06896,1.06882,1.06882,0
2023-03-07 00:21:00+00:00,1.06883,1.06889,1.06883,1.06886,0
2023-03-07 00:22:00+00:00,1.06885,1.06893,1.06883,1.06889,0
2023-03-07 00:23:00+00:00,1.0689,1.0689,1.06877,1.06877,0
2023-03-07 00:24:00+00:00,1.06877,1.06882,1.06871,1.06872,0
2023-03-07 00:25:00+00:00,1.06873,1.06885,1.06873,1.06882,0
2023-03-07 00:26:00+00:00,1.06882,1.06885,1.06881,1.06882,0
2023-03-07 00:27:00+00:00,1.06882,1.06887,1.06882,1.06886,0
2023-03-07 00:28:00+00:00,1.06886,1.06892,1.06883,1.06885,0
2023-03-07 00:29:00+00:00,1.06885,1.06887,1.06883,1.06887,0
2023-03-07 00:30:00+00:00,1.06886,1.06886,1.06875,1.06879,0
2023-03-07 00:31:00+00:00,1.0688,1.0688,1.06867,1.06871,0
2023-03-07 00:32:00+00:00,1.0687,1.06872,1.06864,1.06865,0
2023-03-07 00:33:00+00:00,1.06866,1.06866,1.06863,1.06864,0
2023-03-07 00:34:00+00:00,1.06865,1.06865,1.06864,1.06865,0
2023-03-07 00:35:00+00:00,1.06864,1.06865,1.06863,1.06865,0
2023-03-07 00:36:00+00:00,1.06865,1.06877,1.06865,1.06872,0
2023-03-07 00:37:00+00:00,1.06871,1.06871,1.06861,1.06866,0
2023-03-07 00:38:00+00:00,1.06865,1.06871,1.06865,1.06869,0
2023-03-07 00:39:00+00:00,1.06869,1.06869,1.06863,1.06864,0
2023-03-07 00:40:00+00:00,1.06864,1.06873,1.06864,1.06871,0
