start,symbol,low,high,open,close,volume,product_id,timestamp_utc
1678165680,BTCUSDC,22473.34,22473.86,22473.35,22473.34,0.29021331,BTC-USDC,2023-03-07 05:08:00+00:00
1678165740,BTCUSDC,22469.28,22473.35,22473.35,22469.87,0.63029089,BTC-USDC,2023-03-07 05:09:00+00:00
1678165800,BTCUSDC,22470.59,22472.31,22471.06,22472.31,1.03319185,BTC-USDC,2023-03-07 05:10:00+00:00
1678165860,BTCUSDC,22471.53,22473.71,22473.7,22471.53,0.85151588,BTC-USDC,2023-03-07 05:11:00+00:00
1678165920,BTCUSDC,22469.36,22472.63,22472.62,22470.81,2.98801092,BTC-USDC,2023-03-07 05:12:00+00:00
1678165980,BTCUSDC,22469.15,22471.81,22470.81,22470.34,2.08774153,BTC-USDC,2023-03-07 05:13:00+00:00
1678166040,BTCUSDC,22469.05,22471.12,22470.04,22469.87,0.51639472,BTC-USDC,2023-03-07 05:14:00+00:00
1678166100,BTCUSDC,22469.73,22471.8,22470.1,22470.13,0.3501715,BTC-USDC,2023-03-07 05:15:00+00:00
1678166160,BTCUSDC,22469.73,22474.39,22470.93,22471.16,1.468985,BTC-USDC,2023-03-07 05:16:00+00:00
1678166220,BTCUSDC,22467,22473.61,22471.05,22468.39,2.26117441,BTC-USDC,2023-03-07 05:17:00+00:00
1678166280,BTCUSDC,22460,22469.09,22468.38,22460.01,1.4661607,BTC-USDC,2023-03-07 05:18:00+00:00
1678166340,BTCUSDC,22459.09,22462.42,22460,22460.5,2.61776962,BTC-USDC,2023-03-07 05:19:00+00:00
1678166400,BTCUSDC,22459.49,22467.07,22460.5,22464.51,2.04453405,BTC-USDC,2023-03-07 05:20:00+00:00
1678166460,BTCUSDC,22463.8,22467.04,22464.66,22465.21,1.25020739,BTC-USDC,2023-03-07 05:21:00+00:00
1678166520,BTCUSDC,22464.42,22477.18,22465.39,22473.57,1.51491548,BTC-USDC,2023-03-07 05:22:00+00:00
1678166580,BTCUSDC,22464.32,22473.58,22473.58,22464.32,1.11821873,BTC-USDC,2023-03-07 05:23:00+00:00
1678166640,BTCUSDC,22462.77,22464.39,22462.87,22463.77,0.61103853,BTC-USDC,2023-03-07 05:24:00+00:00
1678166700,BTCUSDC,22463,22464.68,22463.78,22464.24,0.48837131,BTC-USDC,2023-03-07 05:25:00+00:00
1678166760,BTCUSDC,22464.51,22465.9,22464.51,22465.34,0.2872605,BTC-USDC,2023-03-07 05:26:00+00:00
1678166820,BTCUSDC,22464.51,22465.94,22465.15,22465.53,0.63139124,BTC-USDC,2023-03-07 05:27:00+00:00
1678166880,BTCUSDC,22463.66,22465.54,22465.52,22464.24,0.97559667,BTC-USDC,2023-03-07 05:28:00+00:00
1678166940,BTCUSDC,22463.66,22465.3,22464.23,22464.94,0.77243101,BTC-USDC,2023-03-07 05:29:00+00:00
1678167000,BTCUSDC,22461.5,22465.79,22464.94,22461.89,0.95530273,BTC-USDC,2023-03-07 05:30:00+00:00
1678167060,BTCUSDC,22460.2,22462.48,22461.92,22461,0.30004521,BTC-USDC,2023-03-07 05:31:00+00:00
1678167120,BTCUSDC,22460.32,22464.1,22461.01,22462.1,1.14783543,BTC-USDC,2023-03-07 05:32:00+00:00
1678167180,BTCUSDC,22462.82,22465.42,22462.82,22463.34,0.37080296,BTC-USDC,2023-03-07 05:33:00+00:00
1678167240,BTCUSDC,22461.01,22463.35,22463.35,22461.01,0.49876001,BTC-USDC,2023-03-07 05:34:00+00:00
1678167300,BTCUSDC,22461,22463.33,22461.01,22463.33,0.55812537,BTC-USDC,2023-03-07 05:35:00+00:00
1678167360,BTCUSDC,22462.29,22471.96,22463.24,22468.99,2.63539742,BTC-USDC,2023-03-07 05:36:00+00:00
1678167420,BTCUSDC,22462.28,22470.27,22470.27,22465.53,1.18376729,BTC-USDC,2023-03-07 05:37:00+00:00
1678167480,BTCUSDC,22460.85,22465.51,22465.17,22461.56,0.89307337,BTC-USDC,2023-03-07 05:38:00+00:00
1678167540,BTCUSDC,22461.55,22463.63,22461.56,22463.2,0.27225649,BTC-USDC,2023-03-07 05:39:00+00:00
1678167600,BTCUSDC,22463.19,22467.95,22463.2,22466.17,0.62526091,BTC-USDC,2023-03-07 05:40:00+00:00
1678167660,BTCUSDC,22465.31,22467.33,22466.18,22467.33,0.42885795,BTC-USDC,2023-03-07 05:41:00+00:00
1678167720,BTCUSDC,22466.26,22467.95,22467.32,22467.68,0.91406876,BTC-USDC,2023-03-07 05:42:00+00:00
1678167780,BTCUSDC,22465.5,22467.94,22467.94,22467.01,0.59833115,BTC-USDC,2023-03-07 05:43:00+00:00
1678167840,BTCUSDC,22464.17,22467.08,22467.01,22464.17,1.48023823,BTC-USDC,2023-03-07 05:44:00+00:00
1678167900,BTCUSDC,22462.68,22465.64,22464.56,22463.51,0.52660277,BTC-USDC,2023-03-07 05:45:00+00:00
1678167960,BTCUSDC,22459.67,22463.51,22463.51,22459.69,0.61094428,BTC-USDC,2023-03-07 05:46:00+00:00
1678168020,BTCUSDC,22451.44,22459.69,22459.69,22454.59,4.44080393,BTC-USDC,2023-03-07 05:47:00+00:00
1678168080,BTCUSDC,22444.12,22453.79,22453.79,22449.11,2.66986345,BTC-USDC,2023-03-07 05:48:00+00:00
1678168140,BTCUSDC,22449.1,22458.72,22449.1,22453.94,2.80118019,BTC-USDC,2023-03-07 05:49:00+00:00
1678168200,BTCUSDC,22453.93,22456.73,22453.93,22455.38,0.57582348,BTC-USDC,2023-03-07 05:50:00+00:00
1678168260,BTCUSDC,22455.38,22456.95,22455.38,22455.39,0.31312109,BTC-USDC,2023-03-07 05:51:00+00:00
1678168320,BTCUSDC,22454.37,22459.83,22455.39,22458.27,0.78349107,BTC-USDC,2023-03-07 05:52:00+00:00
1678168380,BTCUSDC,22457.61,22460.9,22460.28,22460.9,0.46990933,BTC-USDC,2023-03-07 05:53:00+00:00
1678168440,BTCUSDC,22459.14,22463.92,22460.92,22459.55,2.62319781,BTC-USDC,2023-03-07 05:54:00+00:00
1678168500,BTCUSDC,22459.54,22462.99,22459.55,22461.99,1.3765196,BTC-USDC,2023-03-07 05:55:00+00:00
1678168560,BTCUSDC,22461.99,22463.72,22461.99,22462.77,0.80146336,BTC-USDC,2023-03-07 05:56:00+00:00
1678168620,BTCUSDC,22456.1,22462.77,22462.76,22456.11,1.37735798,BTC-USDC,2023-03-07 05:57:00+00:00
1678168680,BTCUSDC,22456.1,22457.85,22456.1,22457.04,0.27432859,BTC-USDC,2023-03-07 05:58:00+00:00
1678168740,BTCUSDC,22456.42,22458.25,22457.07,22458.25,1.2934266,BTC-USDC,2023-03-07 05:59:00+00:00
1678168800,BTCUSDC,22457.75,22460.35,22459.55,22457.76,0.91538203,BTC-USDC,2023-03-07 06:00:00+00:00
1678168860,BTCUSDC,22455.13,22457.76,22457.76,22455.86,0.79965454,BTC-USDC,2023-03-07 06:01:00+00:00
1678168920,BTCUSDC,22454.36,22456.51,22456.51,22454.41,0.60806293,BTC-USDC,2023-03-07 06:02:00+00:00
1678168980,BTCUSDC,22453.7,22459.47,22454.41,22455.84,2.59493249,BTC-USDC,2023-03-07 06:03:00+00:00
1678169040,BTCUSDC,22455.85,22458.7,22455.85,22456.28,0.96499293,BTC-USDC,2023-03-07 06:04:00+00:00
1678169100,BTCUSDC,22455.84,22457.1,22456.43,22456.49,0.92240053,BTC-USDC,2023-03-07 06:05:00+00:00
1678169160,BTCUSDC,22455.44,22455.85,22455.85,22455.44,0.69931994,BTC-USDC,2023-03-07 06:06:00+00:00
1678169220,BTCUSDC,22454.92,22455.85,22455.44,22455.85,0.94506482,BTC-USDC,2023-03-07 06:07:00+00:00
1678169280,BTCUSDC,22451.84,22460.32,22455.85,22453.29,5.36988665,BTC-USDC,2023-03-07 06:08:00+00:00
1678169340,BTCUSDC,22449.56,22453.24,22453.24,22452.4,1.27770739,BTC-USDC,2023-03-07 06:09:00+00:00
1678169400,BTCUSDC,22449.77,22452.41,22452.39,22450.15,1.39392195,BTC-USDC,2023-03-07 06:10:00+00:00
1678169460,BTCUSDC,22450.15,22458.36,22450.15,22450.81,1.58148177,BTC-USDC,2023-03-07 06:11:00+00:00
1678169520,BTCUSDC,22450.81,22454.8,22450.81,22453.79,0.96207293,BTC-USDC,2023-03-07 06:12:00+00:00
1678169580,BTCUSDC,22444.83,22453.79,22453.79,22445.58,1.43296129,BTC-USDC,2023-03-07 06:13:00+00:00
1678169640,BTCUSDC,22437.8,22446.46,22445.3,22444,10.65367209,BTC-USDC,2023-03-07 06:14:00+00:00
1678169700,BTCUSDC,22438.39,22445.79,22443.54,22443.57,1.39814856,BTC-USDC,2023-03-07 06:15:00+00:00
1678169760,BTCUSDC,22442.54,22450.02,22444.57,22449.63,3.32999559,BTC-USDC,2023-03-07 06:16:00+00:00
1678169820,BTCUSDC,22444.6,22449.64,22449.64,22444.61,0.63032095,BTC-USDC,2023-03-07 06:17:00+00:00
1678169880,BTCUSDC,22441.59,22445.44,22444.61,22443.68,1.52956404,BTC-USDC,2023-03-07 06:18:00+00:00
1678169940,BTCUSDC,22429.62,22447.28,22444.97,22433.74,10.25797409,BTC-USDC,2023-03-07 06:19:00+00:00
1678170000,BTCUSDC,22430.59,22440.95,22431.27,22436.92,2.46409924,BTC-USDC,2023-03-07 06:20:00+00:00
1678170060,BTCUSDC,22436.92,22441.08,22436.92,22440.08,0.65120893,BTC-USDC,2023-03-07 06:21:00+00:00
1678170120,BTCUSDC,22434.92,22442.75,22440.08,22435.46,1.17050566,BTC-USDC,2023-03-07 06:22:00+00:00
1678170180,BTCUSDC,22433.51,22437.24,22435.44,22435,1.55791477,BTC-USDC,2023-03-07 06:23:00+00:00
1678170240,BTCUSDC,22435.84,22440.52,22436.03,22437.87,0.34579406,BTC-USDC,2023-03-07 06:24:00+00:00
1678170300,BTCUSDC,22437.58,22440.65,22437.87,22438.01,3.42295976,BTC-USDC,2023-03-07 06:25:00+00:00
1678170360,BTCUSDC,22430.86,22439.45,22438,22434.39,7.36835216,BTC-USDC,2023-03-07 06:26:00+00:00
1678170420,BTCUSDC,22434.4,22439.94,22434.4,22437.91,2.47371609,BTC-USDC,2023-03-07 06:27:00+00:00
1678170480,BTCUSDC,22437.9,22440,22437.91,22439.5,0.21876475,BTC-USDC,2023-03-07 06:28:00+00:00
1678170540,BTCUSDC,22438.68,22439.99,22439.51,22439.62,0.49848686,BTC-USDC,2023-03-07 06:29:00+00:00
1678170600,BTCUSDC,22439.49,22447.4,22439.84,22442.15,3.91961052,BTC-USDC,2023-03-07 06:30:00+00:00
1678170660,BTCUSDC,22443.42,22447.91,22443.43,22447.65,0.53933239,BTC-USDC,2023-03-07 06:31:00+00:00
1678170720,BTCUSDC,22447.13,22450.93,22447.64,22447.14,1.16560239,BTC-USDC,2023-03-07 06:32:00+00:00
1678170780,BTCUSDC,22440.01,22447.3,22447.13,22440.99,5.68030509,BTC-USDC,2023-03-07 06:33:00+00:00
1678170840,BTCUSDC,22433.46,22440.99,22440.99,22437.6,2.74624695,BTC-USDC,2023-03-07 06:34:00+00:00
1678170900,BTCUSDC,22431.12,22435.21,22435.21,22431.13,0.53897258,BTC-USDC,2023-03-07 06:35:00+00:00
1678170960,BTCUSDC,22415.49,22433.63,22431.13,22422.36,7.21323928,BTC-USDC,2023-03-07 06:36:00+00:00
1678171020,BTCUSDC,22413.94,22425.3,22422.37,22425.3,3.56426152,BTC-USDC,2023-03-07 06:37:00+00:00
1678171080,BTCUSDC,22419.53,22434.65,22423.05,22433.86,3.38642624,BTC-USDC,2023-03-07 06:38:00+00:00
1678171140,BTCUSDC,22427.88,22442.67,22433.86,22429.75,3.23280039,BTC-USDC,2023-03-07 06:39:00+00:00
1678171200,BTCUSDC,22429.34,22434.8,22429.34,22433.88,0.46494877,BTC-USDC,2023-03-07 06:40:00+00:00
1678171260,BTCUSDC,22431.92,22434.08,22433.2,22433.62,0.56559279,BTC-USDC,2023-03-07 06:41:00+00:00
1678171320,BTCUSDC,22433.29,22435.53,22433.63,22435.25,0.32508414,BTC-USDC,2023-03-07 06:42:00+00:00
1678171380,BTCUSDC,22434.14,22435.97,22435.25,22435.08,0.41735381,BTC-USDC,2023-03-07 06:43:00+00:00
1678171440,BTCUSDC,22435.08,22438.8,22435.4,22438.8,0.83791893,BTC-USDC,2023-03-07 06:44:00+00:00
1678171500,BTCUSDC,22435.51,22442.25,22438.28,22442.25,0.37097226,BTC-USDC,2023-03-07 06:45:00+00:00
1678171560,BTCUSDC,22438.13,22442.2,22442.2,22438.83,0.59403649,BTC-USDC,2023-03-07 06:46:00+00:00
1678171620,BTCUSDC,22435.07,22440.91,22438.84,22436.18,2.86028746,BTC-USDC,2023-03-07 06:47:00+00:00
1678171680,BTCUSDC,22435.23,22437.32,22436.21,22436.38,0.56045478,BTC-USDC,2023-03-07 06:48:00+00:00
1678171740,BTCUSDC,22435.82,22438.97,22435.82,22438.14,0.40042071,BTC-USDC,2023-03-07 06:49:00+00:00
1678171800,BTCUSDC,22434.13,22443.83,22437.36,22436.92,4.77610198,BTC-USDC,2023-03-07 06:50:00+00:00
1678171860,BTCUSDC,22436,22438.18,22437.13,22437.33,0.84400911,BTC-USDC,2023-03-07 06:51:00+00:00
1678171920,BTCUSDC,22435.02,22437.88,22437.34,22437,2.55587618,BTC-USDC,2023-03-07 06:52:00+00:00
1678171980,BTCUSDC,22435,22438.05,22436.7,22436.71,0.58535895,BTC-USDC,2023-03-07 06:53:00+00:00
1678172040,BTCUSDC,22436.05,22438.36,22436.71,22437.38,0.28596814,BTC-USDC,2023-03-07 06:54:00+00:00
1678172100,BTCUSDC,22436.22,22442.17,22437.37,22439.87,0.80867236,BTC-USDC,2023-03-07 06:55:00+00:00
