file,schema,gap_start_utc,gap_end_utc,n_missing_bars,action
coinbase_USDTUSDC_1m_20230301_20230321.csv,A,2023-03-08 06:19:00+00:00,2023-03-08 06:49:00+00:00,31,DROPPED -- not imputed
coinbase_USDTUSDC_1m_20230301_20230321.csv,A,2023-03-08 07:14:00+00:00,2023-03-08 08:01:00+00:00,48,DROPPED -- not imputed
coinbase_USDTUSDC_1m_20230301_20230321.csv,A,2023-03-08 08:30:00+00:00,2023-03-08 09:03:00+00:00,34,DROPPED -- not imputed
coinbase_USDTUSDC_1m_20230301_20230321.csv,A,2023-03-08 09:19:00+00:00,2023-03-08 10:02:00+00:00,44,DROPPED -- not imputed
coinbase_USDTUSDC_1m_20230301_20230321.csv,A,2023-03-08 12:13:00+00:00,2023-03-08 12:43:00+00:00,31,DROPPED -- not imputed
coinbase_USDTUSDC_1m_20230301_20230321.csv,A,2023-03-08 20:21:00+00:00,2023-03-08 21:01:00+00:00,41,DROPPED -- not imputed
coinbase_USDTUSDC_1m_20230301_20230321.csv,A,2023-03-09 00:31:00+00:00,2023-03-09 01:07:00+00:00,37,DROPPED -- not imputed
coinbase_USDTUSDC_1m_20230301_20230321.csv,A,2023-03-09 02:16:00+00:00,2023-03-09 03:04:00+00:00,49,DROPPED -- not imputed
coinbase_USDTUSDC_1m_20230301_20230321.csv,A,2023-03-09 06:19:00+00:00,2023-03-09 06:56:00+00:00,38,DROPPED -- not imputed
coinbase_USDTUSDC_1m_20230301_20230321.csv,A,2023-03-09 07:15:00+00:00,2023-03-09 08:01:00+00:00,47,DROPPED -- not imputed
coinbase_USDTUSDC_1m_20230301_20230321.csv,A,2023-03-09 10:26:00+00:00,2023-03-09 11:01:00+00:00,36,DROPPED -- not imputed
coinbase_USDTUSDC_1m_20230301_20230321.csv,A,2023-03-09 15:19:00+00:00,2023-03-09 15:54:00+00:00,36,DROPPED -- not imputed
coinbase_USDTUSDC_1m_20230301_20230321.csv,A,2023-03-10 04:21:00+00:00,2023-03-10 04:53:00+00:00,33,DROPPED -- not imputed
coinbase_USDTUSDC_1m_20230301_20230321.csv,A,2023-03-10 06:26:00+00:00,2023-03-10 06:56:00+00:00,31,DROPPED -- not imputed
coinbase_USDTUSDC_1m_20230301_20230321.csv,A,2023-03-16 08:35:00+00:00,2023-03-16 09:11:00+00:00,37,DROPPED -- not imputed
coinbase_USDTUSDC_1m_20230301_20230321.csv,A,2023-03-17 05:01:00+00:00,2023-03-17 05:33:00+00:00,33,DROPPED -- not imputed
coinbase_USDTUSDC_1m_20230301_20230321.csv,A,2023-03-18 06:59:00+00:00,2023-03-18 07:43:00+00:00,45,DROPPED -- not imputed
coinbase_USDTUSDC_1m_20230301_20230321.csv,A,2023-03-21 12:17:00+00:00,2023-03-21 12:47:00+00:00,31,DROPPED -- not imputed
