symbol,datetime,open,high,low,close,volume,trades,imputed,gap_size,impute_method
BTCUSDT,2023-03-18 03:00:00+00:00,27294.1,27294.1,27294.1,27294.1,0.03345846,1,,,
BTCUSDT,2023-03-18 03:01:00+00:00,27294.1,27294.1,27294.1,27294.1,0.0,0,True,1.0,LOCF
BTCUSDT,2023-03-18 03:02:00+00:00,27298.7,27298.7,27298.7,27298.7,0.0011433,1,,,
BTCUSDT,2023-03-18 03:03:00+00:00,27298.7,27298.7,27298.7,27298.7,0.0,0,True,2.0,LOCF
BTCUSDT,2023-03-18 03:04:00+00:00,27298.7,27298.7,27298.7,27298.7,0.0,0,True,2.0,LOCF
BTCUSDT,2023-03-18 03:05:00+00:00,27296.6,27296.6,27287.7,27287.7,0.1,2,,,
BTCUSDT,2023-03-18 03:06:00+00:00,27296.6,27296.6,27287.7,27287.7,0.0,0,True,2.0,LOCF
BTCUSDT,2023-03-18 03:07:00+00:00,27296.6,27296.6,27287.7,27287.7,0.0,0,True,2.0,LOCF
BTCUSDT,2023-03-18 03:08:00+00:00,27315.7,27315.7,27315.7,27315.7,0.01981,1,,,
BTCUSDT,2023-03-18 03:09:00+00:00,27315.7,27315.7,27315.7,27315.7,0.0,0,True,1.0,LOCF
BTCUSDT,2023-03-18 03:10:00+00:00,27277.3,27277.3,27237.7,27237.7,0.05868025,2,,,
BTCUSDT,2023-03-18 03:11:00+00:00,27243.1,27243.1,27243.1,27243.1,0.09813632,2,,,
BTCUSDT,2023-03-18 03:12:00+00:00,27266.8,27266.8,27266.5,27266.5,0.145,2,,,
BTCUSDT,2023-03-18 03:13:00+00:00,27216.1,27216.1,27194.4,27194.4,0.154,6,,,
BTCUSDT,2023-03-18 03:14:00+00:00,27216.1,27216.1,27194.4,27194.4,0.0,0,True,3.0,LOCF
BTCUSDT,2023-03-18 03:15:00+00:00,27216.1,27216.1,27194.4,27194.4,0.0,0,True,3.0,LOCF
BTCUSDT,2023-03-18 03:16:00+00:00,27216.1,27216.1,27194.4,27194.4,0.0,0,True,3.0,LOCF
BTCUSDT,2023-03-18 03:17:00+00:00,27189.8,27207.3,27189.8,27207.3,0.19989567,6,,,
BTCUSDT,2023-03-18 03:18:00+00:00,27213.1,27213.1,27207.3,27207.3,1.00025189,12,,,
BTCUSDT,2023-03-18 03:19:00+00:00,27213.1,27213.1,27207.3,27207.3,0.0,0,True,2.0,LOCF
BTCUSDT,2023-03-18 03:20:00+00:00,27213.1,27213.1,27207.3,27207.3,0.0,0,True,2.0,LOCF
BTCUSDT,2023-03-18 03:21:00+00:00,27230.3,27230.3,27230.3,27230.3,0.00367237,1,,,
BTCUSDT,2023-03-18 03:22:00+00:00,27245.3,27245.3,27245.3,27245.3,0.00091,1,,,
BTCUSDT,2023-03-18 03:23:00+00:00,27264.7,27264.7,27255.5,27255.5,0.02183259,2,,,
BTCUSDT,2023-03-18 03:24:00+00:00,27264.7,27264.7,27255.5,27255.5,0.0,0,True,1.0,LOCF
