symbol,time_period_start,time_period_end,price_open,price_high,price_low,price_close,volume_traded,trades_count,imputed,gap_size,impute_method
BTCUSDC,2023-03-07T01:00:00.0000000Z,2023-03-07T01:01:00.0000000Z,22412.97,22412.97,22412.97,22412.97,0.0,0,True,5,LOCF
BTCUSDC,2023-03-07T01:01:00.0000000Z,2023-03-07T01:02:00.0000000Z,22411.62,22411.62,22411.62,22411.62,0.00712511,1,False,0,none
BTCUSDC,2023-03-07T01:02:00.0000000Z,2023-03-07T01:03:00.0000000Z,22411.620000020113,22411.65953870803,22411.620000020113,22411.620000020113,0.0,0,True,6,ETS
BTCUSDC,2023-03-07T01:03:00.0000000Z,2023-03-07T01:04:00.0000000Z,22411.620000020113,22411.65953870803,22411.620000020113,22411.620000020113,0.0,0,True,6,ETS
BTCUSDC,2023-03-07T01:04:00.0000000Z,2023-03-07T01:05:00.0000000Z,22411.620000020113,22411.65953870803,22411.620000020113,22411.620000020113,0.0,0,True,6,ETS
BTCUSDC,2023-03-07T01:05:00.0000000Z,2023-03-07T01:06:00.0000000Z,22411.620000020113,22411.65953870803,22411.620000020113,22411.620000020113,0.0,0,True,6,ETS
BTCUSDC,2023-03-07T01:06:00.0000000Z,2023-03-07T01:07:00.0000000Z,22411.620000020113,22411.65953870803,22411.620000020113,22411.620000020113,0.0,0,True,6,ETS
BTCUSDC,2023-03-07T01:07:00.0000000Z,2023-03-07T01:08:00.0000000Z,22411.620000020113,22411.65953870803,22411.620000020113,22411.620000020113,0.0,0,True,6,ETS
BTCUSDC,2023-03-07T01:08:00.0000000Z,2023-03-07T01:09:00.0000000Z,22427.43,22427.43,22427.43,22427.43,0.04326792,1,False,0,none
BTCUSDC,2023-03-07T01:09:00.0000000Z,2023-03-07T01:10:00.0000000Z,22427.43,22427.43,22427.43,22427.43,0.0,0,True,5,LOCF
BTCUSDC,2023-03-07T01:10:00.0000000Z,2023-03-07T01:11:00.0000000Z,22427.43,22427.43,22427.43,22427.43,0.0,0,True,5,LOCF
BTCUSDC,2023-03-07T01:11:00.0000000Z,2023-03-07T01:12:00.0000000Z,22427.43,22427.43,22427.43,22427.43,0.0,0,True,5,LOCF
BTCUSDC,2023-03-07T01:12:00.0000000Z,2023-03-07T01:13:00.0000000Z,22427.43,22427.43,22427.43,22427.43,0.0,0,True,5,LOCF
BTCUSDC,2023-03-07T01:13:00.0000000Z,2023-03-07T01:14:00.0000000Z,22427.43,22427.43,22427.43,22427.43,0.0,0,True,5,LOCF
BTCUSDC,2023-03-07T01:14:00.0000000Z,2023-03-07T01:15:00.0000000Z,22444.45,22476.17,22444.45,22476.17,0.14703183,7,False,0,none
BTCUSDC,2023-03-07T01:15:00.0000000Z,2023-03-07T01:16:00.0000000Z,22476.97,22478.27,22469.01,22469.01,1.24482584,8,False,0,none
BTCUSDC,2023-03-07T01:16:00.0000000Z,2023-03-07T01:17:00.0000000Z,22470.15,22474.76,22460.39,22472.7,0.000604,4,False,0,none
BTCUSDC,2023-03-07T01:17:00.0000000Z,2023-03-07T01:18:00.0000000Z,22472.5,22472.5,22467.08,22467.1,0.00041518,3,False,0,none
BTCUSDC,2023-03-07T01:18:00.0000000Z,2023-03-07T01:19:00.0000000Z,22465.27,22465.27,22465.27,22465.27,0.00010543,1,False,0,none
BTCUSDC,2023-03-07T01:19:00.0000000Z,2023-03-07T01:20:00.0000000Z,22465.27,22465.27,22465.27,22465.27,0.0,0,True,2,LOCF
BTCUSDC,2023-03-07T01:20:00.0000000Z,2023-03-07T01:21:00.0000000Z,22465.27,22465.27,22465.27,22465.27,0.0,0,True,2,LOCF
BTCUSDC,2023-03-07T01:21:00.0000000Z,2023-03-07T01:22:00.0000000Z,22466.33,22466.33,22466.33,22466.33,0.00019334,1,False,0,none
BTCUSDC,2023-03-07T01:22:00.0000000Z,2023-03-07T01:23:00.0000000Z,22466.329999984206,22466.300411098957,22466.329999984206,22466.329999984206,0.0,0,True,13,ETS
BTCUSDC,2023-03-07T01:23:00.0000000Z,2023-03-07T01:24:00.0000000Z,22466.329999984206,22466.300411098957,22466.329999984206,22466.329999984206,0.0,0,True,13,ETS
BTCUSDC,2023-03-07T01:24:00.0000000Z,2023-03-07T01:25:00.0000000Z,22466.329999984206,22466.300411098957,22466.329999984206,22466.329999984206,0.0,0,True,13,ETS
BTCUSDC,2023-03-07T01:25:00.0000000Z,2023-03-07T01:26:00.0000000Z,22466.329999984206,22466.300411098957,22466.329999984206,22466.329999984206,0.0,0,True,13,ETS
BTCUSDC,2023-03-07T01:26:00.0000000Z,2023-03-07T01:27:00.0000000Z,22466.329999984206,22466.300411098957,22466.329999984206,22466.329999984206,0.0,0,True,13,ETS
BTCUSDC,2023-03-07T01:27:00.0000000Z,2023-03-07T01:28:00.0000000Z,22466.329999984206,22466.300411098957,22466.329999984206,22466.329999984206,0.0,0,True,13,ETS
BTCUSDC,2023-03-07T01:28:00.0000000Z,2023-03-07T01:29:00.0000000Z,22466.329999984206,22466.300411098957,22466.329999984206,22466.329999984206,0.0,0,True,13,ETS
BTCUSDC,2023-03-07T01:29:00.0000000Z,2023-03-07T01:30:00.0000000Z,22466.329999984206,22466.300411098957,22466.329999984206,22466.329999984206,0.0,0,True,13,ETS
BTCUSDC,2023-03-07T01:30:00.0000000Z,2023-03-07T01:31:00.0000000Z,22466.329999984206,22466.300411098957,22466.329999984206,22466.329999984206,0.0,0,True,13,ETS
BTCUSDC,2023-03-07T01:31:00.0000000Z,2023-03-07T01:32:00.0000000Z,22466.329999984206,22466.300411098957,22466.329999984206,22466.329999984206,0.0,0,True,13,ETS
BTCUSDC,2023-03-07T01:32:00.0000000Z,2023-03-07T01:33:00.0000000Z,22466.329999984206,22466.300411098957,22466.329999984206,22466.329999984206,0.0,0,True,13,ETS
BTCUSDC,2023-03-07T01:33:00.0000000Z,2023-03-07T01:34:00.0000000Z,22466.329999984206,22466.300411098957,22466.329999984206,22466.329999984206,0.0,0,True,13,ETS
