exchange,symbol,open_time_utc,open_time_ms,open,high,low,close,volume
coinbase,ETHEUR,2023-03-20 09:30:00,1679304600000,1679.02,1679.73,1678.73,1679.73,8.09108091
coinbase,ETHEUR,2023-03-20 09:31:00,1679304660000,1679.78,1680.21,1679.73,1680,3.70179895
coinbase,ETHEUR,2023-03-20 09:32:00,1679304720000,1680.11,1680.13,1678.05,1678.35,2.89906414
coinbase,ETHEUR,2023-03-20 09:33:00,1679304780000,1678.89,1679.53,1678.48,1678.78,11.81086497
coinbase,ETHEUR,2023-03-20 09:34:00,1679304840000,1678.45,1679,1678.39,1678.39,1.98426046
coinbase,ETHEUR,2023-03-20 09:35:00,1679304900000,1678.18,1678.18,1677,1677,4.58150544
coinbase,ETHEUR,2023-03-20 09:36:00,1679304960000,1673.59,1673.59,1671.41,1671.41,2.58162552
coinbase,ETHEUR,2023-03-20 09:37:00,1679305020000,1670.85,1670.85,1666.05,1670,10.97525195
coinbase,ETHEUR,2023-03-20 09:38:00,1679305080000,1669.86,1672.64,1669.86,1672.26,6.51095696
coinbase,ETHEUR,2023-03-20 09:40:00,1679305200000,1673.36,1673.42,1669.96,1669.96,28.75574165
coinbase,ETHEUR,2023-03-20 09:41:00,1679305260000,1672.17,1672.17,1671.83,1671.83,2.80430037
coinbase,ETHEUR,2023-03-20 09:42:00,1679305320000,1672.8,1672.8,1670.46,1670.6,2.22796759
coinbase,ETHEUR,2023-03-20 09:43:00,1679305380000,1669.87,1672.45,1669.32,1672.45,6.11379269
coinbase,ETHEUR,2023-03-20 09:44:00,1679305440000,1672.85,1673.07,1671.32,1671.32,3.85763508
coinbase,ETHEUR,2023-03-20 09:45:00,1679305500000,1671.8,1673.03,1671.8,1673.03,12.3575771
coinbase,ETHEUR,2023-03-20 09:46:00,1679305560000,1673.35,1673.48,1672.4,1672.4,4.84437997
coinbase,ETHEUR,2023-03-20 09:47:00,1679305620000,1672.59,1673.3,1672.23,1673.29,1.75689195
