exchange,symbol,open_time_utc,open_time_ms,open,high,low,close,volume
coinbase,ETHUSD,2023-03-04 05:30:00,1677907800000,1568.48,1568.99,1568.32,1568.96,13.71734656
coinbase,ETHUSD,2023-03-04 05:31:00,1677907860000,1568.78,1568.78,1568.51,1568.66,8.01620616
coinbase,ETHUSD,2023-03-04 05:32:00,1677907920000,1568.66,1568.83,1568.47,1568.49,5.61680054
coinbase,ETHUSD,2023-03-04 05:33:00,1677907980000,1568.49,1568.75,1568.41,1568.69,6.23635045
coinbase,ETHUSD,2023-03-04 05:34:00,1677908040000,1568.69,1568.69,1568.27,1568.31,7.76556815
coinbase,ETHUSD,2023-03-04 05:35:00,1677908100000,1568.28,1568.32,1567,1567,65.86519773
coinbase,ETHUSD,2023-03-04 05:36:00,1677908160000,1567.01,1567.4,1566.1,1566.55,197.06979805
coinbase,ETHUSD,2023-03-04 05:37:00,1677908220000,1566.54,1566.54,1564.89,1565.3,144.8280656
coinbase,ETHUSD,2023-03-04 05:38:00,1677908280000,1565.3,1566.1,1562.78,1566.1,372.99311339
coinbase,ETHUSD,2023-03-04 05:39:00,1677908340000,1566.1,1566.89,1565.77,1565.89,76.44188301
coinbase,ETHUSD,2023-03-04 05:40:00,1677908400000,1566.13,1566.13,1565,1565.21,73.72583976
coinbase,ETHUSD,2023-03-04 05:41:00,1677908460000,1565.22,1566.07,1565.21,1565.93,44.52186314
coinbase,ETHUSD,2023-03-04 05:42:00,1677908520000,1565.95,1566.56,1565.95,1566.48,22.59554484
coinbase,ETHUSD,2023-03-04 05:43:00,1677908580000,1566.6,1566.6,1565.76,1565.94,20.4802367
coinbase,ETHUSD,2023-03-04 05:44:00,1677908640000,1565.94,1567.4,1565.94,1567.32,39.84565287
coinbase,ETHUSD,2023-03-04 05:45:00,1677908700000,1567.31,1567.47,1566.96,1567.45,20.15053324
coinbase,ETHUSD,2023-03-04 05:46:00,1677908760000,1567.46,1567.58,1567.33,1567.53,10.58071362
coinbase,ETHUSD,2023-03-04 05:47:00,1677908820000,1567.52,1568.1,1567.47,1567.98,18.16872756
coinbase,ETHUSD,2023-03-04 05:48:00,1677908880000,1567.95,1568.09,1567.76,1567.76,21.72879108
coinbase,ETHUSD,2023-03-04 05:49:00,1677908940000,1567.77,1567.89,1567.42,1567.66,20.49946393
coinbase,ETHUSD,2023-03-04 05:50:00,1677909000000,1567.64,1567.76,1567.51,1567.52,11.78198045
coinbase,ETHUSD,2023-03-04 05:51:00,1677909060000,1567.52,1567.68,1567.51,1567.55,11.49092693
coinbase,ETHUSD,2023-03-04 05:52:00,1677909120000,1567.54,1567.55,1566.99,1567.01,21.3256653
coinbase,ETHUSD,2023-03-04 05:53:00,1677909180000,1566.93,1567.41,1566.47,1567.41,29.76079445
coinbase,ETHUSD,2023-03-04 05:54:00,1677909240000,1567.48,1567.55,1566.92,1566.94,14.04046088
coinbase,ETHUSD,2023-03-04 05:55:00,1677909300000,1566.95,1566.95,1566.93,1566.95,4.51984978
coinbase,ETHUSD,2023-03-04 05:56:00,1677909360000,1566.95,1566.95,1566.12,1566.2,25.87221692
coinbase,ETHUSD,2023-03-04 05:57:00,1677909420000,1566.2,1566.26,1565.74,1566.03,17.45191432
coinbase,ETHUSD,2023-03-04 05:58:00,1677909480000,1565.99,1566.76,1565.74,1566.76,31.51393668
coinbase,ETHUSD,2023-03-04 05:59:00,1677909540000,1566.8,1567.2,1566.4,1567.2,36.67178341
coinbase,ETHUSD,2023-03-04 06:00:00,1677909600000,1567.2,1567.2,1566.37,1566.43,19.62116178
coinbase,ETHUSD,2023-03-04 06:01:00,1677909660000,1566.43,1566.44,1565.3,1565.46,89.18280825
coinbase,ETHUSD,2023-03-04 06:02:00,1677909720000,1565.51,1567.13,1565.51,1566.98,60.72679505
coinbase,ETHUSD,2023-03-04 06:03:00,1677909780000,1567.08,1567.25,1567.03,1567.21,20.02265911
coinbase,ETHUSD,2023-03-04 06:04:00,1677909840000,1567.21,1567.39,1567.12,1567.37,8.98169649
coinbase,ETHUSD,2023-03-04 06:05:00,1677909900000,1567.3,1567.36,1565.73,1565.73,74.64605339
coinbase,ETHUSD,2023-03-04 06:06:00,1677909960000,1565.72,1566.09,1565.57,1565.65,17.85840351
coinbase,ETHUSD,2023-03-04 06:07:00,1677910020000,1565.66,1565.95,1565.62,1565.91,11.93641725
coinbase,ETHUSD,2023-03-04 06:08:00,1677910080000,1566.04,1566.19,1565.58,1566.05,19.16773031
coinbase,ETHUSD,2023-03-04 06:09:00,1677910140000,1566.05,1566.35,1565.98,1566.29,19.02445286
coinbase,ETHUSD,2023-03-04 06:10:00,1677910200000,1566.29,1566.3,1566.15,1566.28,4.77272203
coinbase,ETHUSD,2023-03-04 06:11:00,1677910260000,1566.28,1566.88,1566.25,1566.41,31.32455636
coinbase,ETHUSD,2023-03-04 06:12:00,1677910320000,1566.53,1567.18,1566.44,1567.06,17.42114712
coinbase,ETHUSD,2023-03-04 06:13:00,1677910380000,1566.96,1568.05,1566.96,1567.65,65.81802261
coinbase,ETHUSD,2023-03-04 06:14:00,1677910440000,1567.79,1568.5,1567.61,1568.48,30.08891078
coinbase,ETHUSD,2023-03-04 06:15:00,1677910500000,1568.49,1569.37,1568.48,1568.92,29.44042208
coinbase,ETHUSD,2023-03-04 06:16:00,1677910560000,1569.14,1570.1,1568.87,1570.04,29.25235224
coinbase,ETHUSD,2023-03-04 06:17:00,1677910620000,1569.96,1570.39,1569.54,1570.25,26.42496816
coinbase,ETHUSD,2023-03-04 06:18:00,1677910680000,1570.22,1570.53,1569.71,1570.53,39.23372096
coinbase,ETHUSD,2023-03-04 06:19:00,1677910740000,1570.46,1571.73,1570.45,1571.59,35.69267326
