symbol,open_time_ms,open_time_utc,open,high,low,close,volume,imputed,gap_size,impute_method
BTCUSDT,1678448100000,2023-03-10 11:35:00,19686.1,19686.1,19672.97,19672.97,0.92674,False,0,none
BTCUSDT,1678448160000,2023-03-10 11:36:00,19672.62,19684.31,19670.4,19676.55,1.64854,False,0,none
BTCUSDT,1678448220000,2023-03-10 11:37:00,19673.06,19681.86,19672.43,19675.89,1.50286,False,0,none
BTCUSDT,1678448280000,2023-03-10 11:38:00,19669.79,19669.79,19655.21,19655.21,0.93148,False,0,none
BTCUSDT,1678448340000,2023-03-10 11:39:00,19655.71,19666.11,19647.5,19665.52,2.47272,False,0,none
BTCUSDT,1678448400000,2023-03-10 11:40:00,19665.53,19665.53,19653.51,19655.02,0.74816,False,0,none
BTCUSDT,1678448460000,2023-03-10 11:41:00,19655.23,19657.74,19640.38,19643.98,2.68434,False,0,none
BTCUSDT,1678448520000,2023-03-10 11:42:00,19643.15,19646.62,19615.15,19617.96,3.47899,False,0,none
BTCUSDT,1678448580000,2023-03-10 11:43:00,19614.68,19656.34,19610.16,19651.66,7.467,False,0,none
BTCUSDT,1678448640000,2023-03-10 11:44:00,19650.8,19658.89,19645.23,19645.23,1.56498,False,0,none
BTCUSDT,1678448700000,2023-03-10 11:45:00,19644.43,19655.67,19644.43,19655.67,0.84527,False,0,none
BTCUSDT,1678448760000,2023-03-10 11:46:00,19655.68,19670.6,19655.68,19665.44,1.5418,False,0,none
BTCUSDT,1678448820000,2023-03-10 11:47:00,19668.19,19673.61,19665.47,19673.61,0.72086,False,0,none
BTCUSDT,1678448880000,2023-03-10 11:48:00,19673.61,19683.12,19670.67,19683.12,0.47566,False,0,none
BTCUSDT,1678448940000,2023-03-10 11:49:00,19685.6,19712.07,19684.37,19712.06,2.43991,False,0,none
BTCUSDT,1678449000000,2023-03-10 11:50:00,19712.07,19740.97,19712.07,19727.72,5.50075,False,0,none
BTCUSDT,1678449060000,2023-03-10 11:51:00,19727.71,19742.32,19724.56,19740.02,1.9071,False,0,none
BTCUSDT,1678449120000,2023-03-10 11:52:00,19736.48,19800.93,19736.48,19788.34,3.18754,False,0,none
BTCUSDT,1678449180000,2023-03-10 11:53:00,19785.82,19799.57,19765.05,19769.57,4.05251,False,0,none
BTCUSDT,1678449240000,2023-03-10 11:54:00,19772.9,19778.38,19761.73,19768.65,2.43646,False,0,none
BTCUSDT,1678449300000,2023-03-10 11:55:00,19770.92,19775.41,19749.86,19757.93,2.82797,False,0,none
BTCUSDT,1678449360000,2023-03-10 11:56:00,19754.05,19759.08,19741.47,19744.31,1.59079,False,0,none
BTCUSDT,1678449420000,2023-03-10 11:57:00,19744.04,19755.78,19741.63,19751.05,0.94093,False,0,none
BTCUSDT,1678449480000,2023-03-10 11:58:00,19751.83,19764.53,19749.74,19764.53,1.29807,False,0,none
BTCUSDT,1678449540000,2023-03-10 11:59:00,19763.52,19770.49,19750.74,19764.56,4.77134,False,0,none
BTCUSDT,1678449600000,2023-03-10 12:00:00,19764.32,19787.22,19764.32,19784.35,2.08565,False,0,none
BTCUSDT,1678449660000,2023-03-10 12:01:00,19785.86,19786.98,19765.51,19774.45,3.08689,False,0,none
BTCUSDT,1678449720000,2023-03-10 12:02:00,19775.69,19780.99,19765.49,19772.37,1.93064,False,0,none
BTCUSDT,1678449780000,2023-03-10 12:03:00,19772.84,19776.46,19755.43,19760.25,1.6344,False,0,none
BTCUSDT,1678449840000,2023-03-10 12:04:00,19758.03,19759.38,19748.7,19758.68,1.35254,False,0,none
BTCUSDT,1678449900000,2023-03-10 12:05:00,19758.33,19763.03,19753.66,19761.52,1.05711,False,0,none
BTCUSDT,1678449960000,2023-03-10 12:06:00,19760.54,19764.29,19746.98,19750.95,1.73054,False,0,none
BTCUSDT,1678450020000,2023-03-10 12:07:00,19752.19,19756.21,19745.63,19747.35,0.62644,False,0,none
BTCUSDT,1678450080000,2023-03-10 12:08:00,19744.68,19744.68,19738.61,19739.71,0.44541,False,0,none
BTCUSDT,1678450140000,2023-03-10 12:09:00,19737.42,19749.88,19734.67,19740.25,0.88046,False,0,none
BTCUSDT,1678450200000,2023-03-10 12:10:00,19739.85,19755.43,19739.85,19749.21,0.87174,False,0,none
BTCUSDT,1678450260000,2023-03-10 12:11:00,19750.23,19759.84,19747.85,19757.43,2.428,False,0,none
BTCUSDT,1678450320000,2023-03-10 12:12:00,19755.9,19762.89,19746.48,19748.42,1.11695,False,0,none
BTCUSDT,1678450380000,2023-03-10 12:13:00,19749.85,19756.03,19746.53,19756.03,1.07246,False,0,none
BTCUSDT,1678450440000,2023-03-10 12:14:00,19757.6,19757.6,19741.79,19741.8,1.02296,False,0,none
BTCUSDT,1678450500000,2023-03-10 12:15:00,19743.08,19761.8,19743.08,19757.56,3.75569,False,0,none
BTCUSDT,1678450560000,2023-03-10 12:16:00,19758.21,19760.75,19748.91,19760.75,3.69701,False,0,none
BTCUSDT,1678450620000,2023-03-10 12:17:00,19763.19,19784.15,19760.09,19782.06,0.51648,False,0,none
BTCUSDT,1678450680000,2023-03-10 12:18:00,19780.26,19818.99,19780.26,19810.56,4.36593,False,0,none
BTCUSDT,1678450740000,2023-03-10 12:19:00,19810.55,19853.42,19808.06,19833.41,4.69171,False,0,none
BTCUSDT,1678450800000,2023-03-10 12:20:00,19832.45,19837.98,19818.44,19829.57,2.08794,False,0,none
BTCUSDT,1678450860000,2023-03-10 12:21:00,19825.5,19838.9,19816.9,19819.68,1.61682,False,0,none
BTCUSDT,1678450920000,2023-03-10 12:22:00,19823.06,19823.06,19802.82,19808.2,2.19563,False,0,none
BTCUSDT,1678450980000,2023-03-10 12:23:00,19805.59,19805.59,19792.29,19796.72,1.35579,False,0,none
BTCUSDT,1678451040000,2023-03-10 12:24:00,19798.87,19798.87,19790.04,19792.11,1.39217,False,0,none
BTCUSDT,1678451100000,2023-03-10 12:25:00,19795.67,19896.5,19763.29,19872.01,22.73222,False,0,none
BTCUSDT,1678451160000,2023-03-10 12:26:00,19874.7,19884.0,19847.59,19847.85,11.99791,False,0,none
BTCUSDT,1678451220000,2023-03-10 12:27:00,19851.84,19864.85,19840.5,19850.75,2.48001,False,0,none
BTCUSDT,1678451280000,2023-03-10 12:28:00,19852.98,19862.7,19842.05,19862.7,0.85835,False,0,none
BTCUSDT,1678451340000,2023-03-10 12:29:00,19862.7,19873.72,19854.17,19870.87,1.87329,False,0,none
