symbol,open_time_ms,open_time_utc,open,high,low,close,volume,imputed,gap_size,impute_method
BTCUSD,1677843540000,2023-03-03 11:39:00,22368.27,22369.73,22361.07,22365.87,0.34962,False,0,none
BTCUSD,1677843600000,2023-03-03 11:40:00,22366.07,22366.86,22351.78,22354.14,1.62335,False,0,none
BTCUSD,1677843660000,2023-03-03 11:41:00,22351.58,22353.41,22338.77,22342.27,1.42308,False,0,none
BTCUSD,1677843720000,2023-03-03 11:42:00,22340.97,22352.03,22340.97,22352.03,0.82558,False,0,none
BTCUSD,1677843780000,2023-03-03 11:43:00,22351.82,22361.55,22346.53,22346.53,2.98301,False,0,none
BTCUSD,1677843840000,2023-03-03 11:44:00,22345.8,22356.41,22343.05,22351.72,2.65882,False,0,none
BTCUSD,1677843900000,2023-03-03 11:45:00,22354.28,22356.5,22352.03,22352.28,0.58192,False,0,none
BTCUSD,1677843960000,2023-03-03 11:46:00,22351.25,22354.67,22347.5,22353.09,0.80072,False,0,none
BTCUSD,1677844020000,2023-03-03 11:47:00,22351.04,22358.03,22349.05,22355.24,0.67165,False,0,none
BTCUSD,1677844080000,2023-03-03 11:48:00,22360.23,22365.44,22358.07,22361.95,0.71871,False,0,none
BTCUSD,1677844140000,2023-03-03 11:49:00,22366.29,22368.56,22362.13,22364.72,2.09712,False,0,none
BTCUSD,1677844200000,2023-03-03 11:50:00,22366.53,22366.53,22357.63,22358.87,0.82888,False,0,none
BTCUSD,1677844260000,2023-03-03 11:51:00,22357.62,22365.9,22357.58,22357.86,1.30388,False,0,none
BTCUSD,1677844320000,2023-03-03 11:52:00,22361.15,22366.26,22360.44,22365.05,0.4752,False,0,none
BTCUSD,1677844380000,2023-03-03 11:53:00,22361.25,22365.69,22357.34,22365.69,0.17141,False,0,none
BTCUSD,1677844440000,2023-03-03 11:54:00,22361.34,22361.8,22357.34,22358.06,1.03928,False,0,none
BTCUSD,1677844500000,2023-03-03 11:55:00,22357.02,22359.76,22355.99,22357.15,0.21875,False,0,none
BTCUSD,1677844560000,2023-03-03 11:56:00,22355.12,22358.67,22345.75,22355.66,2.11867,False,0,none
BTCUSD,1677844620000,2023-03-03 11:57:00,22355.55,22359.13,22353.6,22359.13,0.49534,False,0,none
BTCUSD,1677844680000,2023-03-03 11:58:00,22357.65,22358.68,22343.93,22347.07,1.51913,False,0,none
BTCUSD,1677844740000,2023-03-03 11:59:00,22352.87,22354.41,22344.04,22345.78,2.8927,False,0,none
BTCUSD,1677844800000,2023-03-03 12:00:00,22343.93,22354.67,22343.93,22354.67,1.4719,False,0,none
BTCUSD,1677844860000,2023-03-03 12:01:00,22351.14,22366.93,22351.14,22364.45,2.34015,False,0,none
BTCUSD,1677844920000,2023-03-03 12:02:00,22366.4,22366.4,22357.42,22357.78,0.62964,False,0,none
BTCUSD,1677844980000,2023-03-03 12:03:00,22358.53,22360.31,22349.09,22349.09,0.91318,False,0,none
BTCUSD,1677845040000,2023-03-03 12:04:00,22349.55,22354.49,22348.3,22352.63,0.69334,False,0,none
