,exchange,symbol,open_time_utc,open,high,low,close,volume
2023-03-07 03:36:00+00:00,coinbase,BTCEUR,2023-03-07 03:36:00,21019.42,21020.41,21016.66,21020.41,0.00367452
2023-03-07 03:37:00+00:00,coinbase,BTCEUR,2023-03-07 03:37:00,21017.2,21017.2,21009.83,21009.83,0.22607748
2023-03-07 03:38:00+00:00,coinbase,BTCEUR,2023-03-07 03:38:00,21010.02,21010.02,21001.4,21006.65,0.12798908
2023-03-07 03:39:00+00:00,coinbase,BTCEUR,2023-03-07 03:38:00,21010.02,21010.02,21001.4,21006.65,0.0
2023-03-07 03:40:00+00:00,coinbase,BTCEUR,2023-03-07 03:40:00,21010.24,21018.42,21010.24,21018.42,0.04715741
2023-03-07 03:41:00+00:00,coinbase,BTCEUR,2023-03-07 03:41:00,21016.08,21016.71,21009.31,21012.76,0.00863424
2023-03-07 03:42:00+00:00,coinbase,BTCEUR,2023-03-07 03:41:00,21016.08,21016.71,21009.31,21012.76,0.0
2023-03-07 03:43:00+00:00,coinbase,BTCEUR,2023-03-07 03:41:00,21016.08,21016.71,21009.31,21012.76,0.0
2023-03-07 03:44:00+00:00,coinbase,BTCEUR,2023-03-07 03:44:00,21005.85,21014.87,21005.85,21014.87,0.02189718
2023-03-07 03:45:00+00:00,coinbase,BTCEUR,2023-03-07 03:44:00,21005.85,21014.87,21005.85,21014.87,0.0
2023-03-07 03:46:00+00:00,coinbase,BTCEUR,2023-03-07 03:46:00,21017.98,21017.98,21016.76,21016.76,0.04618841
2023-03-07 03:47:00+00:00,coinbase,BTCEUR,2023-03-07 03:46:00,21017.98,21017.98,21016.76,21016.76,0.0
2023-03-07 03:48:00+00:00,coinbase,BTCEUR,2023-03-07 03:48:00,21017.88,21018.77,21012.57,21014.98,0.16111294
2023-03-07 03:49:00+00:00,coinbase,BTCEUR,2023-03-07 03:49:00,21018.25,21018.25,21014.24,21014.24,0.00019931
2023-03-07 03:50:00+00:00,coinbase,BTCEUR,2023-03-07 03:49:00,21018.25,21018.25,21014.24,21014.24,0.0
2023-03-07 03:51:00+00:00,coinbase,BTCEUR,2023-03-07 03:51:00,21016.28,21016.29,21012.41,21015.78,0.02606563
2023-03-07 03:52:00+00:00,coinbase,BTCEUR,2023-03-07 03:51:00,21016.28,21016.29,21012.41,21015.78,0.0
2023-03-07 03:53:00+00:00,coinbase,BTCEUR,2023-03-07 03:53:00,21014.19,21015.82,21011.0,21015.82,0.43302795
2023-03-07 03:54:00+00:00,coinbase,BTCEUR,2023-03-07 03:53:00,21014.19,21015.82,21011.0,21015.82,0.0
2023-03-07 03:55:00+00:00,coinbase,BTCEUR,2023-03-07 03:53:00,21014.19,21015.82,21011.0,21015.82,0.0
2023-03-07 03:56:00+00:00,coinbase,BTCEUR,2023-03-07 03:53:00,21014.19,21015.82,21011.0,21015.82,0.0
2023-03-07 03:57:00+00:00,coinbase,BTCEUR,2023-03-07 03:57:00,21010.48,21013.0,21008.58,21008.58,0.04048784
2023-03-07 03:58:00+00:00,coinbase,BTCEUR,2023-03-07 03:57:00,21010.48,21013.0,21008.58,21008.58,0.0
2023-03-07 03:59:00+00:00,coinbase,BTCEUR,2023-03-07 03:57:00,21010.48,21013.0,21008.58,21008.58,0.0
2023-03-07 04:00:00+00:00,coinbase,BTCEUR,2023-03-07 03:57:00,21010.48,21013.0,21008.58,21008.58,0.0
2023-03-07 04:01:00+00:00,coinbase,BTCEUR,2023-03-07 04:01:00,21013.58,21019.27,21013.58,21015.89,0.00215691
2023-03-07 04:02:00+00:00,coinbase,BTCEUR,2023-03-07 04:02:00,21010.88,21012.03,21003.65,21003.65,0.00425827
2023-03-07 04:03:00+00:00,coinbase,BTCEUR,2023-03-07 04:03:00,21004.84,21007.64,21004.84,21005.91,0.00475087
