,exchange,symbol,open_time_utc,open,high,low,close,volume
2023-03-02 21:38:00+00:00,coinbase,BTCUSD,2023-03-02 21:38:00,23420.86,23425.2,23412.65,23422.28,2.37769367
2023-03-02 21:39:00+00:00,coinbase,BTCUSD,2023-03-02 21:39:00,23419.71,23419.71,23412.89,23416.28,2.91678717
2023-03-02 21:40:00+00:00,coinbase,BTCUSD,2023-03-02 21:40:00,23416.04,23423.27,23416.03,23422.51,1.68783937
2023-03-02 21:41:00+00:00,coinbase,BTCUSD,2023-03-02 21:41:00,23422.51,23426.08,23420.88,23425.0,3.83105529
2023-03-02 21:42:00+00:00,coinbase,BTCUSD,2023-03-02 21:42:00,23423.95,23428.42,23421.43,23428.42,7.7782385
2023-03-02 21:43:00+00:00,coinbase,BTCUSD,2023-03-02 21:43:00,23428.42,23428.54,23409.84,23416.44,3.72762095
2023-03-02 21:44:00+00:00,coinbase,BTCUSD,2023-03-02 21:44:00,23416.1,23425.59,23416.1,23423.63,3.02533616
2023-03-02 21:45:00+00:00,coinbase,BTCUSD,2023-03-02 21:45:00,23423.18,23428.38,23418.87,23427.06,2.78910719
2023-03-02 21:46:00+00:00,coinbase,BTCUSD,2023-03-02 21:46:00,23427.06,23431.11,23427.06,23429.01,0.71675967
2023-03-02 21:47:00+00:00,coinbase,BTCUSD,2023-03-02 21:47:00,23429.01,23435.49,23428.59,23435.49,2.31961782
2023-03-02 21:48:00+00:00,coinbase,BTCUSD,2023-03-02 21:48:00,23435.18,23443.1,23434.11,23438.89,7.1492519
2023-03-02 21:49:00+00:00,coinbase,BTCUSD,2023-03-02 21:49:00,23437.03,23445.0,23433.78,23439.58,3.81320645
2023-03-02 21:50:00+00:00,coinbase,BTCUSD,2023-03-02 21:50:00,23439.66,23446.61,23439.64,23442.66,3.02332163
2023-03-02 21:51:00+00:00,coinbase,BTCUSD,2023-03-02 21:51:00,23442.67,23446.28,23440.42,23442.55,2.57511793
2023-03-02 21:52:00+00:00,coinbase,BTCUSD,2023-03-02 21:52:00,23443.44,23443.44,23425.59,23428.01,2.08726925
2023-03-02 21:53:00+00:00,coinbase,BTCUSD,2023-03-02 21:53:00,23428.01,23441.89,23428.01,23440.78,9.60910757
2023-03-02 21:54:00+00:00,coinbase,BTCUSD,2023-03-02 21:54:00,23440.48,23441.35,23434.25,23436.9,1.73022458
2023-03-02 21:55:00+00:00,coinbase,BTCUSD,2023-03-02 21:55:00,23436.89,23436.9,23420.08,23423.31,4.17369456
2023-03-02 21:56:00+00:00,coinbase,BTCUSD,2023-03-02 21:56:00,23423.31,23427.1,23416.32,23425.24,1.44531253
2023-03-02 21:57:00+00:00,coinbase,BTCUSD,2023-03-02 21:57:00,23425.32,23432.5,23423.56,23424.36,3.43724419
2023-03-02 21:58:00+00:00,coinbase,BTCUSD,2023-03-02 21:58:00,23425.67,23425.67,23420.51,23421.15,4.97250621
2023-03-02 21:59:00+00:00,coinbase,BTCUSD,2023-03-02 21:59:00,23420.93,23422.23,23408.96,23409.18,5.25422172
2023-03-02 22:00:00+00:00,coinbase,BTCUSD,2023-03-02 22:00:00,23409.39,23415.55,23409.36,23415.05,3.73022535
2023-03-02 22:01:00+00:00,coinbase,BTCUSD,2023-03-02 22:01:00,23415.05,23415.56,23409.81,23411.67,4.02878808
2023-03-02 22:02:00+00:00,coinbase,BTCUSD,2023-03-02 22:02:00,23411.67,23425.73,23411.58,23419.39,11.65428576
2023-03-02 22:03:00+00:00,coinbase,BTCUSD,2023-03-02 22:03:00,23419.39,23434.87,23419.38,23428.38,4.80621939
2023-03-02 22:04:00+00:00,coinbase,BTCUSD,2023-03-02 22:04:00,23426.57,23432.24,23425.68,23431.4,2.66356639
2023-03-02 22:05:00+00:00,coinbase,BTCUSD,2023-03-02 22:05:00,23431.4,23435.61,23429.29,23431.42,1.65236534
2023-03-02 22:06:00+00:00,coinbase,BTCUSD,2023-03-02 22:06:00,23431.42,23431.77,23427.18,23428.86,1.79636736
2023-03-02 22:07:00+00:00,coinbase,BTCUSD,2023-03-02 22:07:00,23428.86,23432.81,23424.2,23432.1,2.94941042
2023-03-02 22:08:00+00:00,coinbase,BTCUSD,2023-03-02 22:08:00,23431.93,23441.19,23431.93,23439.87,3.8192507
2023-03-02 22:09:00+00:00,coinbase,BTCUSD,2023-03-02 22:09:00,23439.6,23439.6,23434.71,23436.9,3.7040662
2023-03-02 22:10:00+00:00,coinbase,BTCUSD,2023-03-02 22:10:00,23436.82,23436.82,23432.69,23434.76,1.51206847
2023-03-02 22:11:00+00:00,coinbase,BTCUSD,2023-03-02 22:11:00,23434.76,23434.76,23430.05,23431.9,1.13879731
2023-03-02 22:12:00+00:00,coinbase,BTCUSD,2023-03-02 22:12:00,23431.9,23448.39,23431.9,23448.28,5.07622657
2023-03-02 22:13:00+00:00,coinbase,BTCUSD,2023-03-02 22:13:00,23448.28,23454.25,23447.56,23451.34,2.65989492
2023-03-02 22:14:00+00:00,coinbase,BTCUSD,2023-03-02 22:14:00,23451.95,23460.94,23451.95,23460.94,2.31616354
2023-03-02 22:15:00+00:00,coinbase,BTCUSD,2023-03-02 22:15:00,23461.27,23462.79,23447.39,23450.86,4.74698819
2023-03-02 22:16:00+00:00,coinbase,BTCUSD,2023-03-02 22:16:00,23450.87,23458.26,23450.66,23452.3,3.02597579
2023-03-02 22:17:00+00:00,coinbase,BTCUSD,2023-03-02 22:17:00,23452.3,23457.76,23450.86,23457.75,2.93349302
2023-03-02 22:18:00+00:00,coinbase,BTCUSD,2023-03-02 22:18:00,23457.76,23460.76,23457.32,23460.76,1.02390516
2023-03-02 22:19:00+00:00,coinbase,BTCUSD,2023-03-02 22:19:00,23461.85,23463.48,23458.48,23459.8,4.57168053
2023-03-02 22:20:00+00:00,coinbase,BTCUSD,2023-03-02 22:20:00,23459.85,23478.68,23457.77,23478.68,9.01964159
2023-03-02 22:21:00+00:00,coinbase,BTCUSD,2023-03-02 22:21:00,23477.38,23509.12,23477.38,23491.53,15.80818187
2023-03-02 22:22:00+00:00,coinbase,BTCUSD,2023-03-02 22:22:00,23491.3,23491.3,23488.35,23488.35,10.2578319
2023-03-02 22:23:00+00:00,coinbase,BTCUSD,2023-03-02 22:23:00,23488.35,23507.02,23488.35,23503.94,6.53895449
2023-03-02 22:24:00+00:00,coinbase,BTCUSD,2023-03-02 22:24:00,23503.94,23507.49,23502.73,23505.77,7.32407943
2023-03-02 22:25:00+00:00,coinbase,BTCUSD,2023-03-02 22:25:00,23506.21,23506.73,23501.86,23506.73,7.32565107
2023-03-02 22:26:00+00:00,coinbase,BTCUSD,2023-03-02 22:26:00,23506.72,23519.67,23504.39,23519.48,7.38539392
2023-03-02 22:27:00+00:00,coinbase,BTCUSD,2023-03-02 22:27:00,23519.09,23538.72,23517.61,23525.84,18.02680956
2023-03-02 22:28:00+00:00,coinbase,BTCUSD,2023-03-02 22:28:00,23526.34,23540.23,23523.77,23535.88,9.78595888
2023-03-02 22:29:00+00:00,coinbase,BTCUSD,2023-03-02 22:29:00,23535.88,23537.43,23525.76,23534.1,10.20132142
2023-03-02 22:30:00+00:00,coinbase,BTCUSD,2023-03-02 22:30:00,23534.1,23540.51,23532.46,23540.51,11.50574029
2023-03-02 22:31:00+00:00,coinbase,BTCUSD,2023-03-02 22:31:00,23539.5,23554.46,23539.5,23554.17,9.36820393
2023-03-02 22:32:00+00:00,coinbase,BTCUSD,2023-03-02 22:32:00,23554.17,23558.79,23536.35,23548.64,7.19940825
2023-03-02 22:33:00+00:00,coinbase,BTCUSD,2023-03-02 22:33:00,23548.64,23548.64,23507.11,23517.09,26.7393526
2023-03-02 22:34:00+00:00,coinbase,BTCUSD,2023-03-02 22:34:00,23517.93,23522.18,23490.18,23506.99,22.46133241
2023-03-02 22:35:00+00:00,coinbase,BTCUSD,2023-03-02 22:35:00,23506.98,23516.46,23490.21,23497.91,7.12114764
2023-03-02 22:36:00+00:00,coinbase,BTCUSD,2023-03-02 22:36:00,23497.91,23506.54,23489.38,23504.45,7.62727792
2023-03-02 22:37:00+00:00,coinbase,BTCUSD,2023-03-02 22:37:00,23504.45,23531.13,23499.2,23529.99,12.56725081
2023-03-02 22:38:00+00:00,coinbase,BTCUSD,2023-03-02 22:38:00,23529.98,23537.64,23521.11,23521.97,11.188653
2023-03-02 22:39:00+00:00,coinbase,BTCUSD,2023-03-02 22:39:00,23521.97,23521.97,23513.55,23515.96,2.05215942
2023-03-02 22:40:00+00:00,coinbase,BTCUSD,2023-03-02 22:40:00,23515.96,23533.75,23515.59,23522.01,3.62194102
2023-03-02 22:41:00+00:00,coinbase,BTCUSD,2023-03-02 22:41:00,23520.91,23523.35,23513.46,23514.81,1.8665252
2023-03-02 22:42:00+00:00,coinbase,BTCUSD,2023-03-02 22:42:00,23515.04,23516.33,23496.19,23499.45,6.47165631
2023-03-02 22:43:00+00:00,coinbase,BTCUSD,2023-03-02 22:43:00,23499.44,23507.27,23496.19,23497.88,4.48735037
2023-03-02 22:44:00+00:00,coinbase,BTCUSD,2023-03-02 22:44:00,23498.73,23512.12,23496.06,23512.03,4.70084193
2023-03-02 22:45:00+00:00,coinbase,BTCUSD,2023-03-02 22:45:00,23512.5,23517.09,23493.34,23494.07,2.92648908
2023-03-02 22:46:00+00:00,coinbase,BTCUSD,2023-03-02 22:46:00,23495.41,23497.94,23492.13,23492.87,2.58940298
2023-03-02 22:47:00+00:00,coinbase,BTCUSD,2023-03-02 22:47:00,23492.87,23496.75,23481.88,23484.45,7.67019828
2023-03-02 22:48:00+00:00,coinbase,BTCUSD,2023-03-02 22:48:00,23484.46,23495.47,23484.46,23486.65,1.53852028
2023-03-02 22:49:00+00:00,coinbase,BTCUSD,2023-03-02 22:49:00,23486.64,23487.6,23479.51,23482.87,1.04377809
2023-03-02 22:50:00+00:00,coinbase,BTCUSD,2023-03-02 22:50:00,23485.32,23495.86,23485.31,23491.51,2.35375622
2023-03-02 22:51:00+00:00,coinbase,BTCUSD,2023-03-02 22:51:00,23491.51,23491.88,23483.46,23488.22,9.61973606
2023-03-02 22:52:00+00:00,coinbase,BTCUSD,2023-03-02 22:52:00,23488.22,23488.22,23482.34,23482.34,1.96270027
